t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed_raw,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
1.9900,CALIB,0.1178,-0.0567,0.0000,116.5001,286.9797,170.4797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1178,-0.0567,0.0000,0.1178,-0.0567,0.0000,0.1178,-0.0567,0.0000,0.0000
2.0900,CALIB,0.1190,-0.0531,0.0000,116.5001,286.9802,170.4802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1190,-0.0531,0.0000,0.1190,-0.0531,0.0000,0.1190,-0.0531,0.0000,0.0000
2.1900,CALIB,0.1203,-0.0499,0.0000,116.5001,286.9837,170.4836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1203,-0.0499,0.0000,0.1203,-0.0499,0.0000,0.1203,-0.0499,0.0000,0.0000
2.2900,CALIB,0.1215,-0.0472,0.0000,116.5001,286.9828,170.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1215,-0.0472,0.0000,0.1215,-0.0472,0.0000,0.1215,-0.0472,0.0000,0.0000
2.3900,CALIB,0.1228,-0.0451,0.0000,116.5001,286.9963,170.4962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1228,-0.0451,0.0000,0.1228,-0.0451,0.0000,0.1228,-0.0451,0.0000,0.0000
2.4900,CALIB,0.1241,-0.0436,0.0000,116.5001,287.0019,170.5019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1241,-0.0436,0.0000,0.1241,-0.0436,0.0000,0.1241,-0.0436,0.0000,0.0000
2.5900,CALIB,0.1255,-0.0428,0.0000,116.5001,286.9946,170.4946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1255,-0.0428,0.0000,0.1255,-0.0428,0.0000,0.1255,-0.0428,0.0000,0.0000
2.6900,CALIB,0.1269,-0.0427,0.0000,116.5001,286.9616,170.4616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1269,-0.0427,0.0000,0.1269,-0.0427,0.0000,0.1269,-0.0427,0.0000,0.0000
2.7900,CALIB,0.1286,-0.0430,0.0000,116.5001,286.9425,170.4424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1286,-0.0430,0.0000,0.1286,-0.0430,0.0000,0.1286,-0.0430,0.0000,0.0000
2.8900,CALIB,0.1305,-0.0434,0.0000,116.5001,286.9555,170.4554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1305,-0.0434,0.0000,0.1305,-0.0434,0.0000,0.1305,-0.0434,0.0000,0.0000
2.9900,CALIB,0.1326,-0.0439,0.0000,116.5001,286.9872,170.4871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1326,-0.0439,0.0000,0.1326,-0.0439,0.0000,0.1326,-0.0439,0.0000,0.0000
3.0900,CALIB,0.1347,-0.0446,0.0000,116.5001,287.0098,170.5097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1347,-0.0446,0.0000,0.1347,-0.0446,0.0000,0.1347,-0.0446,0.0000,0.0000
3.1900,CALIB,0.1367,-0.0452,0.0000,116.5001,286.9764,170.4763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1367,-0.0452,0.0000,0.1367,-0.0452,0.0000,0.1367,-0.0452,0.0000,0.0000
3.2900,CALIB,0.1385,-0.0459,0.0000,116.5001,287.0038,170.5037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1385,-0.0459,0.0000,0.1385,-0.0459,0.0000,0.1385,-0.0459,0.0000,0.0000
3.3900,CALIB,0.1400,-0.0464,0.0000,116.5001,286.9904,170.4903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1400,-0.0464,0.0000,0.1400,-0.0464,0.0000,0.1400,-0.0464,0.0000,0.0000
3.4900,CALIB,0.1411,-0.0469,0.0000,116.5001,286.9948,170.4947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1411,-0.0469,0.0000,0.1411,-0.0469,0.0000,0.1411,-0.0469,0.0000,0.0000
3.5900,CALIB,0.1417,-0.0471,0.0000,116.5001,286.9966,170.4966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1417,-0.0471,0.0000,0.1417,-0.0471,0.0000,0.1417,-0.0471,0.0000,0.0000
3.6900,CALIB,0.1416,-0.0471,0.0000,116.5001,286.9988,170.4987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1416,-0.0471,0.0000,0.1416,-0.0471,0.0000,0.1416,-0.0471,0.0000,0.0000
3.7900,CALIB,0.1402,-0.0465,0.0000,116.5001,287.0035,170.5035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1402,-0.0465,0.0000,0.1402,-0.0465,0.0000,0.1402,-0.0465,0.0000,0.0000
3.8900,CALIB,0.1375,-0.0454,0.0000,116.5001,287.0002,170.5001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1375,-0.0454,0.0000,0.1375,-0.0454,0.0000,0.1375,-0.0454,0.0000,0.0000
3.9900,CALIB,0.1338,-0.0439,0.0000,116.5001,286.9992,170.4991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1338,-0.0439,0.0000,0.1338,-0.0439,0.0000,0.1338,-0.0439,0.0000,0.0000
4.0900,CALIB,0.1295,-0.0421,0.0000,116.5001,287.0108,170.5107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1295,-0.0421,0.0000,0.1295,-0.0421,0.0000,0.1295,-0.0421,0.0000,0.0000
4.1900,CALIB,0.1248,-0.0401,0.0000,116.5001,287.0092,170.5091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1248,-0.0401,0.0000,0.1248,-0.0401,0.0000,0.1248,-0.0401,0.0000,0.0000
4.2900,CALIB,0.1201,-0.0381,0.0000,116.5001,287.0042,170.5041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1201,-0.0381,0.0000,0.1201,-0.0381,0.0000,0.1201,-0.0381,0.0000,0.0000
4.3900,CALIB,0.1155,-0.0360,0.0000,116.5001,286.9949,170.4948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1155,-0.0360,0.0000,0.1155,-0.0360,0.0000,0.1155,-0.0360,0.0000,0.0000
4.4900,CALIB,0.1114,-0.0341,0.0000,116.5001,286.9985,170.4984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1114,-0.0341,0.0000,0.1114,-0.0341,0.0000,0.1114,-0.0341,0.0000,0.0000
4.5900,CALIB,0.1080,-0.0324,0.0000,116.5001,287.0036,170.5035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1080,-0.0324,0.0000,0.1080,-0.0324,0.0000,0.1080,-0.0324,0.0000,0.0000
4.6900,CALIB,0.1056,-0.0310,0.0000,116.5001,287.0041,170.5041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1056,-0.0310,0.0000,0.1056,-0.0310,0.0000,0.1056,-0.0310,0.0000,0.0000
4.7900,CALIB,0.1036,-0.0297,0.0000,116.5001,287.0061,170.5060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1036,-0.0297,0.0000,0.1036,-0.0297,0.0000,0.1036,-0.0297,0.0000,0.0000
4.8900,CALIB,0.1018,-0.0284,0.0000,116.5001,287.0078,170.5077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1018,-0.0284,0.0000,0.1018,-0.0284,0.0000,0.1018,-0.0284,0.0000,0.0000
4.9900,CALIB,0.1001,-0.0273,0.0000,116.5001,287.0064,170.5064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1001,-0.0273,0.0000,0.1001,-0.0273,0.0000,0.1001,-0.0273,0.0000,0.0000
5.0900,CALIB,0.0985,-0.0261,0.0000,116.5001,287.0021,170.5020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0985,-0.0261,0.0000,0.0985,-0.0261,0.0000,0.0985,-0.0261,0.0000,0.0000
5.1900,CALIB,0.0971,-0.0250,0.0000,116.5001,287.0015,170.5014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0971,-0.0250,0.0000,0.0971,-0.0250,0.0000,0.0971,-0.0250,0.0000,0.0000
5.2900,CALIB,0.0956,-0.0238,0.0000,116.5001,287.0026,170.5025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0956,-0.0238,0.0000,0.0956,-0.0238,0.0000,0.0956,-0.0238,0.0000,0.0000
5.3900,CALIB,0.0941,-0.0226,0.0000,116.5001,287.0067,170.5067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0941,-0.0226,0.0000,0.0941,-0.0226,0.0000,0.0941,-0.0226,0.0000,0.0000
5.4900,CALIB,0.0926,-0.0214,0.0000,116.5001,287.0060,170.5060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0926,-0.0214,0.0000,0.0926,-0.0214,0.0000,0.0926,-0.0214,0.0000,0.0000
5.5900,CALIB,0.0909,-0.0201,0.0000,116.5001,287.0073,170.5072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909,-0.0201,0.0000,0.0909,-0.0201,0.0000,0.0909,-0.0201,0.0000,0.0000
5.6900,CALIB,0.0892,-0.0187,0.0000,116.5001,287.0050,170.5049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0892,-0.0187,0.0000,0.0892,-0.0187,0.0000,0.0892,-0.0187,0.0000,0.0000
5.7900,CALIB,0.0873,-0.0172,0.0000,116.5001,287.0033,170.5033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0873,-0.0172,0.0000,0.0873,-0.0172,0.0000,0.0873,-0.0172,0.0000,0.0000
5.8900,CALIB,0.0855,-0.0157,0.0000,116.5001,287.0036,170.5035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0855,-0.0157,0.0000,0.0855,-0.0157,0.0000,0.0855,-0.0157,0.0000,0.0000
5.9900,CALIB,0.0836,-0.0141,0.0000,116.5001,287.0010,170.5009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0836,-0.0141,0.0000,0.0836,-0.0141,0.0000,0.0836,-0.0141,0.0000,0.0000
6.0900,CALIB,0.0816,-0.0124,0.0000,116.5001,287.0081,170.5080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0816,-0.0124,0.0000,0.0816,-0.0124,0.0000,0.0816,-0.0124,0.0000,0.0000
